#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>,,,,,
#Parameters:,,,,,
#Data:,,,,,
Time,Bias,Frequency,Temperature,R,X
1719397131,0.1,34.79,nan,9898580,-3849690
1719397136,0.1,35.61,nan,9879110,-3832360
1719397141,0.1,36.44,nan,9815680,-3773740
1719397146,0.1,37.29,nan,9790170,-3809070
1719397151,0.1,38.16,nan,9759410,-3813510
1719397155,0.1,39.05,nan,9686010,-3854910
1719397159,0.1,39.96,nan,9611710,-3829020
1719397164,0.1,40.89,nan,9584650,-3822410
1719397168,0.1,41.85,nan,9498780,-3850900
1719397172,0.1,42.82,nan,9461320,-3837930
1719397176,0.1,43.82,nan,9380160,-3862970
1719397180,0.1,44.85,nan,9320060,-3851060
1719397183,0.1,45.89,nan,9290100,-3856210
1719397187,0.1,46.96,nan,9228910,-3873090
1719397191,0.1,48.06,nan,9181780,-3892940
1719397194,0.1,49.18,nan,9118050,-3845010
1719397199,0.1,50.33,nan,9114590,-4025930
1719397204,0.1,51.51,nan,9079270,-3921640
1719397208,0.1,52.71,nan,8915390,-3902660
1719397212,0.1,53.94,nan,8902460,-3890380
1719397217,0.1,55.2,nan,8820080,-3916640
1719397221,0.1,56.48,nan,8765380,-3924850
1719397225,0.1,57.8,nan,8693960,-3950310
1719397230,0.1,59.15,nan,8681050,-3945860
1719397234,0.1,60.53,nan,8586860,-3970830
1719397238,0.1,61.95,nan,8531990,-3959630
1719397242,0.1,63.39,nan,8482560,-3959750
1719397245,0.1,64.87,nan,8400510,-3953030
1719397249,0.1,66.39,nan,8375030,-3949640
1719397252,0.1,67.93,nan,8325330,-3976320
1719397256,0.1,69.52,nan,8231390,-3977460
1719397259,0.1,71.14,nan,8154580,-3993990
1719397263,0.1,72.8,nan,8110140,-4003410
1719397266,0.1,74.5,nan,8021060,-4004080
1719397270,0.1,76.24,nan,7991310,-4001240
1719397274,0.1,78.02,nan,7913780,-4008770
1719397278,0.1,79.84,nan,7852470,-4022240
1719397282,0.1,81.71,nan,7807880,-4001550
1719397285,0.1,83.61,nan,7729350,-4013350
1719397289,0.1,85.56,nan,7679400,-4014730
