BI,BI log,BV,AI,AV,VDEVICE,RESISTANCE,,AV,BIAbs
-4.48E-09,-8.35E+00,-1.32E-05,4.37E-09,2.00E-01,2.00E-01,4.47E+07,,2.005000114,0.035039626
-4.84E-09,-8.32E+00,-2.35E-05,4.84E-09,1.90E-01,1.90E-01,3.92E+07,,2,0.034882322
-3.95E-09,-8.40E+00,-2.44E-05,4.01E-09,1.80E-01,1.80E-01,4.55E+07,,1.995000005,0.034723122
-3.44E-09,-8.46E+00,-2.28E-05,3.51E-09,1.70E-01,1.70E-01,4.94E+07,,1.99000001,0.034563158
-2.98E-09,-8.53E+00,-2.19E-05,3.05E-09,1.60E-01,1.60E-01,5.37E+07,,1.985000014,0.034401398
-2.55E-09,-8.59E+00,-1.88E-05,2.62E-09,1.50E-01,1.50E-01,5.89E+07,,1.980000019,0.034239583
-2.13E-09,-8.67E+00,-1.77E-05,2.20E-09,1.40E-01,1.40E-01,6.59E+07,,1.975000024,0.034076001
-1.71E-09,-8.77E+00,-1.65E-05,1.78E-09,1.30E-01,1.30E-01,7.60E+07,,1.970000029,0.033911791
-1.30E-09,-8.89E+00,-1.58E-05,1.37E-09,1.20E-01,1.20E-01,9.22E+07,,1.965000033,0.03374489
-8.98E-10,-9.05E+00,-1.47E-05,9.69E-10,1.10E-01,1.10E-01,1.22E+08,,1.960000038,0.033577874
-1.77E-09,-8.75E+00,-2.29E-05,1.82E-09,1.00E-01,1.00E-01,5.66E+07,,1.955000043,0.033408124
-8.97E-10,-9.05E+00,-1.64E-05,9.60E-10,9.00E-02,9.00E-02,1.00E+08,,1.950000048,0.033238448
-1.26E-09,-8.90E+00,-2.09E-05,1.29E-09,8.00E-02,8.00E-02,6.35E+07,,1.945000052,0.03306631
-1.17E-09,-8.93E+00,-2.12E-05,1.18E-09,7.00E-02,7.00E-02,5.98E+07,,1.940000057,0.032893907
-9.65E-10,-9.02E+00,-1.92E-05,9.64E-10,6.00E-02,6.00E-02,6.22E+07,,1.934999943,0.032718785
-1.05E-09,-8.98E+00,-2.00E-05,1.08E-09,5.00E-02,5.00E-02,4.75E+07,,1.929999948,0.032543197
-4.89E-10,-9.31E+00,-2.40E-05,4.84E-10,4.00E-02,4.00E-02,8.19E+07,,1.924999952,0.032364659
1.10E-10,-9.96E+00,-1.53E-06,-1.04E-10,3.00E-02,3.00E-02,2.73E+08,,1.919999957,0.032185603
3.54E-10,-9.45E+00,-1.66E-05,-3.38E-10,2.00E-02,2.00E-02,5.64E+07,,1.914999962,0.032004122
1.21E-09,-8.92E+00,-1.12E-05,-1.14E-09,9.96E-03,9.97E-03,8.27E+06,,1.909999967,0.031821813
1.74E-09,-8.76E+00,-9.94E-06,-1.66E-09,-5.13E-05,-4.22E-05,-2.43E+04,,1.904999971,0.031636935
2.22E-09,-8.65E+00,-9.90E-06,-2.15E-09,-9.99E-03,-9.99E-03,-4.49E+06,,1.899999976,0.031451251
2.69E-09,-8.57E+00,-8.06E-06,-2.62E-09,-2.00E-02,-2.00E-02,-7.42E+06,,1.894999981,0.031262472
3.16E-09,-8.50E+00,-8.27E-06,-3.08E-09,-3.00E-02,-3.00E-02,-9.51E+06,,1.889999986,0.031073049
3.61E-09,-8.44E+00,-7.14E-06,-3.53E-09,-4.00E-02,-4.00E-02,-1.11E+07,,1.88499999,0.030880198
4.05E-09,-8.39E+00,-6.26E-06,-3.98E-09,-5.00E-02,-5.00E-02,-1.24E+07,,1.879999995,0.030686613
4.49E-09,-8.35E+00,-5.88E-06,-4.41E-09,-6.00E-02,-6.00E-02,-1.34E+07,,1.875,0.030489292
4.56E-09,-8.34E+00,-1.08E-05,-4.55E-09,-7.00E-02,-7.00E-02,-1.54E+07,,1.870000005,0.030291384
5.06E-09,-8.30E+00,-1.03E-05,-5.18E-09,-8.00E-02,-8.00E-02,-1.58E+07,,1.86500001,0.030089935
5.58E-09,-8.25E+00,-1.01E-05,-5.69E-09,-9.00E-02,-9.00E-02,-1.61E+07,,1.860000014,0.029887432
6.07E-09,-8.22E+00,-9.90E-06,-6.18E-09,-1.00E-01,-1.00E-01,-1.65E+07,,1.855000019,0.029681211
